id,label,type_colour
260,MPS Events,0
261,Bloomberg Brexit,0
262,Johann Hari,0
263,Andrea Leadsom MP,2
264,Afua Hirsch,2
265,Jonathan Freedland,2
266,Nick Cohen,0
267,Amber Rudd,2
268,Lisa Nandy,2
269,Mark Di Stefano,2
270,"Ministry of Housing, Communities and Local Govt",0
271,Katharine Viner,2
272,Dominic Raab,0
273,PoliticsHome,2
274,Lewis Goodall,2
275,Matt Hancock,2
276,Victoria Derbyshire,2
277,Michael Wolff,0
278,Jon Sopel,2
279,Alex Crawford,2
280,Andrew Pierce,0
281,alex thomson,2
282,Chris Giles,0
283,Hannah Jane Parkinson,2
284,Julia Macfarlane,2
285,Tony Connelly,2
286,Ed Conway,0
287,CBI,2
288,Grace Blakeley,0
289,Toby Young,0
290,Jim Pickard,1
291,People's Vote HQ,2
292,Simon Coveney,0
293,Harry Cole,2
294,C4 News FactCheck,2
295,Clive Lewis MP,2
296,Dr Liam Fox MP,0
297,Stephen Bush,0
298,Eddie Mair,0
299,George Eaton,2
300,dr Sarah Wollaston,0
301,Kamal Ahmed,2
302,Richard Burgon MP,0
303,Frank Gardner,0
304,Liz Kendall,2
305,Kate Hoey,0
306,Rt Hon Grant Shapps MP,0
307,Huw Edwards,2
308,Laura Pidcock,2
309,Barry Gardiner,2
310,Zac Goldsmith,2
311,Heidi Allen,2
312,sophieraworth,2
313,Quentin Sommerville,2
314,"Russian Embassy, UK",0
315,Alberto Nardelli,2
316,Joanna Cherry QC,2
317,suzanne moore,2
318,tom bradby,1
319,Kezia Dugdale,2
320,Peter Oborne,0
321,fleetstreetfox,2
322,The Andrew Marr Show,0
323,Jane Garvey,2
324,Caroline Flint,2
325,Rory Bremner,0
326,Rachel Reeves,0
327,Lord Ashcroft,0
328,Joshua Rozenberg,0
329,Katie Martin,0
330,Allister Heath,2
331,Brendan Cox,2
332,Rafael Behr,2
333,CCHQ Press,0
334,BrexitCentral,0
335,(((Dawn Butler))),2
336,John Pienaar,1
337,Ian King,0
338,IPPR,2
339,Lionel Barber,2
340,Mirror Politics,0
341,Sunny Hundal,2
342,Steve Baker MP,0
343,Patrick Wintour,1
344,Neil Henderson,0
345,Alex Wickham,0
346,Stig Abell,0
347,Gavin Esler,2
348,Arlene Foster,0
349,Ian Katz,0
350,James Forsyth,1
351,Daniel Sandford,2
352,emily bell,2
353,Owen Smith,2
354,Election Maps UK,0
355,AndrewSparrow,1
356,Amol Rajan,0
357,Johnny Mercer,2
358,Liz Truss,0
359,Baroness Morgan of Cotes,2
360,Mark Austin,2
361,Angela Eagle,2
362,John Sentamu,0
363,Adam Fleming,2
364,Iain Martin,1
365,Gideon Rachman,0
366,Justine Greening,2
367,Aditya Chakrabortty,2
368,John Redwood,2
369,Sian Williams,2
370,Jane Merrick,1
371,James Landale,1
372,Jeremy Cliffe,0
373,James Cleverly,2
374,Robert Harris,2
375,BBC This Week,0
376,Unite the union,0
377,Douglas Carswell,0
378,CourtNewsUK,0
379,Angus Robertson,2
380,Marie Le Conte,2
381,The Media Tweets,0
382,Matthew Goodwin,0
383,Jonathan Ashworth,2
384,Sebastian Payne,2
385,LSE British Politics,2
